stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
114,0.5,2,141.552747,142.0398577,142.0398577,142.0398577,142.3362021,right,2,1,1,0.617246291,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
115,0.5,2,142.6780252,143.1694075,143.1694075,143.173687,143.456226,right,2,1,1,0.942821582,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
116,0.5,1.5,144.1282649,144.6194315,144.6194315,144.6236036,144.9061402,left,-1.5,1,1,0.510187916,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
117,0.5,1.5,145.1455058,145.6361232,145.6361232,145.6409895,145.9234286,right,1.5,0,0,0.610796291,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
118,0.5,2,146.2616283,146.7526923,146.7526923,146.7569777,147.0398596,right,2,0,0,0.638498332,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
119,0.5,2.5,147.4134517,147.9027872,147.9027872,147.9070626,148.1905134,left,-2.5,1,1,0.596181333,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
120,0.5,2.5,148.5122397,149.0027941,149.0027941,149.0069335,149.2893565,right,2.5,0,0,0.606924791,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
121,0.5,3,149.6288307,150.1194892,150.1194892,150.1235649,150.4066457,left,-3,1,1,0.625901415,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
122,0.5,3,150.7620513,151.2528525,151.2528525,151.2569999,151.5395508,left,-3,1,1,0.404058583,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
123,0.5,3,151.6695287,152.1573773,152.1573773,152.1573773,152.4562319,left,-3,1,1,0.581248332,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
124,0.5,2.5,152.7528439,153.2362547,153.2362547,153.241173,153.5229726,right,2.5,1,1,0.651771332,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
125,0.5,2.5,153.9029098,154.3862228,154.3862228,154.390434,154.6732335,left,-2.5,1,1,0.609203124,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
126,0.5,2.5,155.0120478,155.5029052,155.5029052,155.5073869,155.7898524,left,-2.5,1,1,0.518103416,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
127,0.5,2,156.0362204,156.5195707,156.5195707,156.5241217,156.806861,right,2,0,0,0.592573458,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
128,0.5,2.5,157.128961,157.6195157,157.6195157,157.6238336,157.9065483,left,-2.5,1,1,0.476515458,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
129,0.5,2.5,158.1130483,158.6028402,158.6028402,158.6071267,158.8897509,left,-2.5,1,1,0.460776874,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
130,0.5,2.5,159.0787157,159.5696252,159.5696252,159.5741475,159.856661,right,2.5,1,1,0.609553832,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
131,0.5,2,160.1954907,160.6863382,160.6863382,160.6905238,160.9734578,right,2,0,0,0.555694874,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
132,0.5,2.5,161.26196,161.7529678,161.7529678,161.7570257,162.0401349,right,2.5,1,1,0.651423749,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
133,0.5,2.5,162.4197392,162.902995,162.902995,162.9071713,163.189838,left,-2.5,1,1,0.493670582,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
134,0.5,2.5,163.4130125,163.9030212,163.9030212,163.9070444,164.1896783,right,2.5,1,1,0.544764957,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
135,0.5,2,164.4614725,164.9422301,164.9422301,164.9569212,165.2402128,left,-2,1,1,0.550403166,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
136,0.5,2,165.5124787,166.0031045,166.0031045,166.007147,166.2899562,left,-2,1,1,0.619322624,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
137,0.5,2,166.6364032,167.1198301,167.1198301,167.1239469,167.4070466,left,-2,1,1,0.587752791,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
138,0.5,1.5,167.7194276,168.2071599,168.2071599,168.2071599,168.5031594,left,-1.5,1,1,0.549910749,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
139,0.5,1.5,168.7694514,169.2574904,169.2574904,169.2574904,169.5531943,right,1.5,1,1,0.661468457,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
140,0.5,1.5,169.92915,170.419809,170.419809,170.4243295,170.706508,left,-1.5,1,1,0.564464249,650183,1,2023-09-15_20h01.36.078,Tutorial1,2023.1.3,None
